appid,name,developer,publisher,score_rank,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,genre,currency,final,categories 1,categories 2,positive_ratio,ratings,owners_average,MutualPlayerCount
1019250,WWII TCG - World War 2: The Card Game,FrozenShard Games,FrozenShard Games,,260,110,"100,000 .. 200,000",0,0,0,0,0,"Free to Play, Simulation, Strategy",,0,Single-player, Multi-player,0.702702703,0.777844863,150000,2
1028860,Star Chef: Cooking & Restaurant Game,99Games Online Pvt. Ltd.,99Games Online Pvt. Ltd.,,188,143,"50,000 .. 100,000",2111,0,3167,0,64,"Casual, Free to Play, Indie, Simulation",,0,Single-player, Steam Achievements,0.567975831,0.776444093,75000,4
1078730,Soccer Manager 2020,Soccer Manager Ltd,Soccer Manager Ltd,,1172,364,"200,000 .. 500,000",8,0,10,0,25,"Free to Play, Sports",,0,Single-player, Steam Achievements,0.763020833,0.778007484,350000,5
1137180,咔叽探险队 Kaki Raid,Kaki Studio,Feiyu Technology,,645,254,"100,000 .. 200,000",2871,0,3510,0,0,"Adventure, Casual, Free to Play, RPG, Strategy, Early Access",,0,Single-player, Steam Achievements,0.717463849,0.776971275,150000,4
1157560,Arcane Showdown - Battle Arena,Big Huge Games Inc,Big Huge Games Inc,,265,106,"50,000 .. 100,000",187,0,187,0,0,"Free to Play, Strategy",,0,Multi-player, PvP,0.714285714,0.777986624,75000,2
1161160,talesshop puzzle 테일즈샵 퍼즐,"TALESSHOP Co., Ltd.","TALESSHOP Co., Ltd.",,291,20,"20,000 .. 50,000",90,0,90,0,0,"Casual, Indie, Free to Play",,0,Single-player, Steam Achievements,0.935691318,0.780431786,35000,5
1186740,Kyle is Famous: Complete Edition,John Szymanski,John Szymanski,,1217,110,"100,000 .. 200,000",33,0,33,0,0,"Adventure, Casual, Indie, Simulation",USD,9.99,Single-player, Steam Achievements,0.917106255,0.784761088,150000,4
252730,YOU DON'T KNOW JACK Vol. 1 XL,"Jackbox Games, Inc.","Jackbox Games, Inc.",,154,47,"20,000 .. 50,000",48,0,71,0,1,"Casual, Indie, Strategy",USD,2.99,Single-player, Multi-player,0.766169154,0.778704459,35000,3
259960,YOU DON'T KNOW JACK Vol. 3,"Jackbox Games, Inc.","Jackbox Games, Inc.",,71,10,"0 .. 20,000",56,0,63,0,0,"Casual, Indie, Strategy",USD,2.99,Single-player, Multi-player,0.87654321,0.779058587,10000,2
259980,YOU DON'T KNOW JACK Vol. 4 The Ride,"Jackbox Games, Inc.","Jackbox Games, Inc.",,122,18,"20,000 .. 50,000",399,0,598,0,3,"Casual, Indie, Strategy",USD,2.99,Single-player, Multi-player,0.871428571,0.779228979,35000,2
280560,Danmaku Unlimited 2,Doragon Entertainment,Doragon Entertainment,,419,31,"50,000 .. 100,000",0,0,0,0,0,"Action, Indie",USD,4.99,Single-player, Steam Achievements,0.931111111,0.781085445,75000,5
448080,Fibbage XL,"Jackbox Games, Inc.","Jackbox Games, Inc.",,278,16,"50,000 .. 100,000",24,0,48,0,10,"Casual, Indie, Strategy",USD,9.99,Multi-player, PvP,0.945578231,0.780440786,75000,2
705040,HAWKEN REBORN,,,,0,0,"0 .. 20,000",36,0,36,0,0,,,0,Single-player, Multi-player,,0.778790122,10000,5
46570,Grotesque Tactics 2 – Dungeons and Donuts,Silent Dreams,Headup Publishing,,122,119,"50,000 .. 100,000",15,0,30,0,0,"Adventure, Indie, RPG, Strategy",USD,0.99,Single-player, Family Sharing,0.506224066,0.776574936,75000,8
261720,Holy Avatar vs. Maidens of the Dead,Silent Dreams,Headup Publishing,,85,67,"50,000 .. 100,000",1,0,1,0,0,"Adventure, Casual, Indie, RPG, Strategy",USD,0.99,Single-player, Steam Achievements,0.559210526,0.777661204,75000,10
235070,Bad Bots,Point Five Projects,Digital Tribe,,144,114,"20,000 .. 50,000",46,0,46,0,0,"Action, Indie",USD,4.99,Single-player, Steam Achievements,0.558139535,0.776871465,35000,8
